"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"PY4E001","4e","pythagore","theoreme_direct","calcul","QCM","1","30","Dans un triangle rectangle, les côtés de l'angle droit mesurent 3 cm et 4 cm. Quelle est la longueur de l'hypoténuse ?","5 cm","6 cm|7 cm|25 cm","","flash;pythagore;calcul_hypotenuse","validé","fr"
"PY4E002","4e","pythagore","theoreme_direct","calcul","QCM","1","30","Triangle rectangle : côtés de l'angle droit 5 cm et 12 cm. L'hypoténuse mesure :","13 cm","17 cm|7 cm|119 cm","","flash;pythagore;calcul_hypotenuse","validé","fr"
"PY4E003","4e","pythagore","theoreme_direct","calcul","QCM","2","45","Triangle ABC rectangle en C, AB = 10 cm et AC = 6 cm. Calculer BC.","8 cm","4 cm|16 cm|136 cm","","flash;pythagore;calcul_cote","validé","fr"
"PY4E004","4e","pythagore","theoreme_direct","calcul","QCM","2","45","Triangle DEF rectangle en E : DF = 15 cm, DE = 9 cm. Calculer EF.","12 cm","6 cm|24 cm|225 cm","","flash;pythagore;calcul_cote","validé","fr"
"PY4E005","4e","pythagore","verification","raisonnement","QCM","2","60","Un triangle de côtés 8 cm, 15 cm et 17 cm est-il rectangle ?","Oui","Non|On ne peut pas savoir|Il manque une donnée","","flash;pythagore;reciproque","validé","fr"
"PY4E006","4e","pythagore","verification","raisonnement","QCM","2","60","Les côtés 5 cm, 7 cm et 9 cm forment-ils un triangle rectangle ?","Non","Oui|On ne peut pas savoir|Il faut mesurer les angles","","flash;pythagore;reciproque","validé","fr"
"PY4E007","4e","pythagore","theoreme_direct","calcul","QCM","1","30","Triangle rectangle : côtés de l'angle droit 9 cm et 12 cm. L'hypoténuse = ?","15 cm","21 cm|3 cm|225 cm","","flash;pythagore;calcul_hypotenuse","validé","fr"
"PY4E008","4e","pythagore","theoreme_direct","calcul","QCM","2","45","Triangle rectangle : hypoténuse 25 cm, un côté 7 cm. L'autre côté = ?","24 cm","18 cm|32 cm|576 cm","","flash;pythagore;calcul_cote","validé","fr"
"PY4E009","4e","pythagore","theoreme_direct","calcul","QCM","1","30","Triangle rectangle : côtés de l'angle droit 7 et 24. Hypoténuse = ?","25","31|17|625","","flash;pythagore;calcul_hypotenuse","validé","fr"
"PY4E010","4e","pythagore","theoreme_direct","calcul","QCM","2","45","Triangle ABC rectangle en B : AC = 13, AB = 5. Calculer BC.","12","8|18|144","","flash;pythagore;calcul_cote","validé","fr"
"PY4E011","4e","pythagore","verification","raisonnement","QCM","2","60","Triangle de côtés 9, 12 et 15 : est-il rectangle ?","Oui","Non|Presque|On ne peut pas dire","","flash;pythagore;reciproque","validé","fr"
"PY4E012","4e","pythagore","verification","raisonnement","QCM","2","60","Triangle de côtés 6, 8 et 10 : est-il rectangle ?","Oui","Non|Presque rectangle|Il manque des données","","flash;pythagore;reciproque","validé","fr"
"PY4E013","4e","pythagore","theoreme_direct","calcul","QCM","1","30","Triangle rectangle : côtés de l'angle droit 6 cm et 8 cm. L'hypoténuse = ?","10 cm","14 cm|2 cm|100 cm","","flash;pythagore;calcul_hypotenuse","validé","fr"
"PY4E014","4e","pythagore","theoreme_direct","calcul","QCM","2","45","Triangle rectangle : hypoténuse 17 cm, un côté 8 cm. L'autre côté = ?","15 cm","9 cm|25 cm|225 cm","","flash;pythagore;calcul_cote","validé","fr"
"PY4E015","4e","pythagore","verification","raisonnement","QCM","2","60","Triangle de côtés 7, 24 et 25 : est-il rectangle ?","Oui","Non|On ne peut pas dire|Il faut calculer","","flash;pythagore;reciproque","validé","fr"
"PY4E016","4e","pythagore","theoreme_direct","calcul","QCM","2","60","Triangle rectangle : côtés de l'angle droit 1,5 et 2. Hypoténuse = ?","2,5","3,5|0,5|6,25","","flash;pythagore;calcul_hypotenuse","validé","fr"
"PY4E017","4e","pythagore","verification","raisonnement","QCM","2","60","Triangle de côtés 5, 12 et 13 : est-il rectangle ?","Oui","Non|Presque|On ne peut pas dire","","flash;pythagore;reciproque","validé","fr"
"PY4E018","4e","pythagore","theoreme_direct","calcul","QCM","2","45","Triangle MNP rectangle en N : MP = 20, MN = 12. Calculer NP.","16","8|32|256","","flash;pythagore;calcul_cote","validé","fr"
"PY4E019","4e","pythagore","verification","raisonnement","QCM","2","60","Triangle de côtés 10, 24 et 26 : est-il rectangle ?","Oui","Non|Presque|Il manque des données","","flash;pythagore;reciproque","validé","fr"
"PY4E020","4e","pythagore","verification","raisonnement","QCM","2","60","Triangle de côtés 4, 5 et 7 : est-il rectangle ?","Non","Oui|Presque rectangle|On ne peut pas dire","","flash;pythagore;reciproque","validé","fr"
