"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"THA3E001","3e","thales","theoreme_direct","calcul","QCM","2","60","Si $\frac{AB}{AD} = \frac{AC}{AE}$ et AB = 3, AD = 5, AC = 9, alors AE = ?","15","12|6|45","","flash;thales;calcul_longueur","validé","fr"
"THA3E002","3e","thales","theoreme_direct","calcul","QCM","2","60","Si $\frac{MN}{MP} = \frac{MO}{MQ}$ et MN = 4, MP = 6, MO = 10, alors MQ = ?","15","12|8|24","","flash;thales;calcul_longueur","validé","fr"
"THA3E003","3e","thales","theoreme_direct","calcul","QCM","2","75","Triangle ABC, (DE) // (BC). AD = 2, AB = 5, AE = 3. Calculer AC.","7,5","6|4,5|10","","flash;thales;droites_paralleles","validé","fr"
"THA3E004","3e","thales","theoreme_direct","calcul","QCM","3","90","Si $\frac{AB}{AD} = \frac{2}{3}$ et AC = 12, calculer AE sachant que (BC) // (DE).","18","8|6|36","","flash;thales;rapport_donne","validé","fr"
"THA3E005","3e","thales","reciproque","verification","QCM","2","75","AB = 6, AD = 9, AC = 8, AE = 12. Les droites (BC) et (DE) sont-elles parallèles ?","Oui","Non|Impossible à dire|Il manque des données","","flash;thales;verification_parallelisme","validé","fr"
"THA3E006","3e","thales","reciproque","verification","QCM","2","75","MN = 3, MP = 7, MO = 4, MQ = 9. Les droites (NO) et (PQ) sont-elles parallèles ?","Non","Oui|Presque|Impossible à déterminer","","flash;thales;verification_parallelisme","validé","fr"
"THA3E007","3e","thales","theoreme_direct","calcul","QCM","2","60","Triangle RST, (UV) // (ST). RU = 4, RS = 10, RV = 5. Calculer RT.","12,5","8|15|6","","flash;thales;triangle_configuration","validé","fr"
"THA3E008","3e","thales","theoreme_direct","calcul","QCM","3","90","Si $\frac{AB}{AD} = \frac{AC}{AE} = \frac{3}{4}$ et BC = 6, calculer DE.","8","4,5|9|12","","flash;thales;rapport_fractionnaire","validé","fr"
"THA3E009","3e","thales","theoreme_direct","calcul","QCM","2","75","Triangle ABC, point M sur [AB], point N sur [AC]. AM = 2, AB = 8, AN = 3. Si (MN) // (BC), calculer AC.","12","6|9|24","","flash;thales;points_sur_cotes","validé","fr"
"THA3E010","3e","thales","reciproque","verification","QCM","3","90","AB = 4, AD = 7, AC = 6, AE = 10,5. Vérifier si (BC) // (DE).","Oui","Non|Presque parallèles|Données insuffisantes","","flash;thales;verification_decimaux","validé","fr"
"THA3E011","3e","thales","theoreme_direct","calcul","QCM","2","60","Si $\frac{PQ}{PR} = \frac{PS}{PT}$ et PQ = 5, PR = 8, PS = 7, calculer PT.","11,2","9|14|5,6","","flash;thales;calcul_decimal","validé","fr"
"THA3E012","3e","thales","theoreme_direct","calcul","QCM","3","90","Configuration de Thalès : AB = 6, BD = 4, AC = 9. Si (DE) // (BC), calculer CE.","6","3|12|15","","flash;thales;configuration_papillon","validé","fr"
"THA3E013","3e","thales","reciproque","verification","QCM","2","75","EF = 5, EG = 12, EH = 4, EI = 9,6. Les droites (FH) et (GI) sont-elles parallèles ?","Oui","Non|Impossible|Presque parallèles","","flash;thales;verification_exacte","validé","fr"
"THA3E014","3e","thales","theoreme_direct","calcul","QCM","2","60","Triangle ABC, (MN) // (BC). AM = 3, MB = 2, AN = 4,5. Calculer NC.","3","1,5|6|9","","flash;thales;segments_adjacents","validé","fr"
"THA3E015","3e","thales","theoreme_direct","calcul","QCM","3","90","Si $\frac{AB}{AC} = \frac{2}{5}$ et BD = 8 avec (BD) // (CE), calculer CE.","20","16|10|4","","flash;thales;rapport_inverse","validé","fr"
"THA3E016","3e","thales","reciproque","verification","QCM","3","90","AB = 2,4, AD = 4, AC = 3,6, AE = 6. (BC) // (DE) ?","Oui","Non|Approximativement|Données incohérentes","","flash;thales;verification_decimaux_precis","validé","fr"
"THA3E017","3e","thales","theoreme_direct","calcul","QCM","2","75","Triangle DEF, (GH) // (EF). DG = 5, GE = 3, DH = 7. Calculer HF.","4,2","3,5|5,6|2,1","","flash;thales;calcul_complement","validé","fr"
"THA3E018","3e","thales","theoreme_direct","calcul","QCM","2","60","Si les rapports sont égaux à $\frac{3}{5}$ et AB = 9, calculer AD.","15","6|5,4|27","","flash;thales;calcul_denominateur","validé","fr"
"THA3E019","3e","thales","reciproque","verification","QCM","2","75","PQ = 6, PR = 10, PS = 9, PT = 15. (QS) // (RT) ?","Oui","Non|Presque|Il faut plus de données","","flash;thales;verification_simple","validé","fr"
"THA3E020","3e","thales","theoreme_direct","calcul","QCM","3","90","Configuration croisée : AB = 8, BC = 6, AD = 12. Si (BC) // (DE), calculer DE.","9","4|18|12","","flash;thales;configuration_croisee","validé","fr"
