"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"AI3E001","3e","aires","carre","calcul","QCM","1","30","Calculer l'aire d'un carré de côté 6 cm.","36 cm^2","12 cm^2|24 cm^2|18 cm^2","","flash;aires;carre","à valider","fr"
"AI3E002","3e","aires","rectangle","calcul","QCM","1","30","Calculer l'aire d'un rectangle de longueur 8 cm et largeur 5 cm.","40 cm^2","13 cm^2|20 cm^2|32 cm^2","","flash;aires;rectangle","à valider","fr"
"AI3E003","3e","aires","triangle","calcul","QCM","2","40","Calculer l'aire d'un triangle de base 10 cm et hauteur 6 cm.","30 cm^2","60 cm^2|16 cm^2|36 cm^2","","flash;aires;triangle","à valider","fr"
"AI3E004","3e","aires","disque","calcul","QCM","2","40","Calculer l'aire d'un disque de rayon 4 cm. ($\pi \approx 3,14$)","50,24 cm^2","25,12 cm^2|12,56 cm^2|100,48 cm^2","","flash;aires;disque","à valider","fr"
"AI3E005","3e","aires","parallelogramme","calcul","QCM","2","40","Calculer l'aire d'un parallélogramme de base 7 cm et hauteur 5 cm.","35 cm^2","12 cm^2|21 cm^2|28 cm^2","","flash;aires;parallelogramme","à valider","fr"
"AI3E006","3e","aires","trapeze","calcul","QCM","2","40","Calculer l'aire d'un trapèze de bases 8 cm et 4 cm, hauteur 5 cm.","30 cm^2","20 cm^2|25 cm^2|40 cm^2","","flash;aires;trapeze","à valider","fr"
"AI3E007","3e","aires","carre","calcul","QCM","1","30","Un carré a une aire de 49 cm^2. Quelle est la longueur de son côté ?","7 cm","14 cm|21 cm|3,5 cm","","flash;aires;carre","à valider","fr"
"AI3E008","3e","aires","rectangle","calcul","QCM","1","30","Un rectangle a une aire de 54 cm^2 et une largeur de 6 cm. Quelle est sa longueur ?","9 cm","6 cm|12 cm|18 cm","","flash;aires;rectangle","à valider","fr"
"AI3E009","3e","aires","triangle","calcul","QCM","2","40","Un triangle a une aire de 24 cm^2 et une base de 8 cm. Quelle est sa hauteur ?","6 cm","3 cm|8 cm|12 cm","","flash;aires;triangle","à valider","fr"
"AI3E010","3e","aires","disque","calcul","QCM","2","40","Un disque a une aire de 28,26 cm^2. Quel est son rayon ? ($\pi \approx 3,14$)","3 cm","6 cm|9 cm|12 cm","","flash;aires;disque","à valider","fr"
"AI3E011","3e","aires","parallelogramme","calcul","QCM","2","40","Un parallélogramme a une aire de 48 cm^2 et une base de 8 cm. Quelle est sa hauteur ?","6 cm","8 cm|12 cm|4 cm","","flash;aires;parallelogramme","à valider","fr"
"AI3E012","3e","aires","trapeze","calcul","QCM","2","40","Un trapèze a une aire de 35 cm^2, bases 10 cm et 4 cm. Quelle est sa hauteur ?","3,5 cm","7 cm|5 cm|2 cm","","flash;aires;trapeze","à valider","fr"
"AI3E013","3e","aires","carre","calcul","QCM","1","30","Calculer l'aire d'un carré de côté 9 cm.","81 cm^2","27 cm^2|63 cm^2|36 cm^2","","flash;aires;carre","à valider","fr"
"AI3E014","3e","aires","rectangle","calcul","QCM","1","30","Calculer l'aire d'un rectangle de longueur 12 cm et largeur 7 cm.","84 cm^2","19 cm^2|24 cm^2|72 cm^2","","flash;aires;rectangle","à valider","fr"
"AI3E015","3e","aires","triangle","calcul","QCM","2","40","Calculer l'aire d'un triangle de base 15 cm et hauteur 8 cm.","60 cm^2","30 cm^2|45 cm^2|80 cm^2","","flash;aires;triangle","à valider","fr"
"AI3E016","3e","aires","disque","calcul","QCM","2","40","Calculer l'aire d'un disque de rayon 6 cm. ($\pi \approx 3,14$)","113,04 cm^2","56,52 cm^2|75,36 cm^2|150,72 cm^2","","flash;aires;disque","à valider","fr"
"AI3E017","3e","aires","parallelogramme","calcul","QCM","2","40","Calculer l'aire d'un parallélogramme de base 9 cm et hauteur 7 cm.","63 cm^2","21 cm^2|36 cm^2|49 cm^2","","flash;aires;parallelogramme","à valider","fr"
"AI3E018","3e","aires","trapeze","calcul","QCM","2","40","Calculer l'aire d'un trapèze de bases 12 cm et 6 cm, hauteur 5 cm.","45 cm^2","30 cm^2|36 cm^2|60 cm^2","","flash;aires;trapeze","à valider","fr"
"AI3E019","3e","aires","carre","calcul","QCM","1","30","Un carré a une aire de 64 cm^2. Quelle est la longueur de son côté ?","8 cm","16 cm|32 cm|4 cm","","flash;aires;carre","à valider","fr"
"AI3E020","3e","aires","rectangle","calcul","QCM","1","30","Un rectangle a une aire de 96 cm^2 et une largeur de 8 cm. Quelle est sa longueur ?","12 cm","8 cm|16 cm|24 cm","","flash;aires;rectangle","à valider","fr"
