"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"ST3E001","3e","statistiques","moyenne_ponderee","calcul","QCM","2","60","Calculer la moyenne pondérée : note 12 (coeff 2) ; note 16 (coeff 3) ; note 8 (coeff 1)","13.33","12.67|11.5|14","","flash;statistiques;moyenne_ponderee","validé","fr"
"ST3E002","3e","statistiques","mediane","position","QCM","2","45","Une série a 15 valeurs. Quelle est la position de la médiane ?","8ème","7ème|15ème|16ème","","flash;statistiques;position_mediane","validé","fr"
"ST3E003","3e","statistiques","etendue","decimales","QCM","2","45","Calculer l'étendue de : 2.7 ; 5.3 ; 1.8 ; 6.9 ; 4.1 ; 3.5","5.1","4.8|5.6|4.2","","flash;statistiques;etendue_decimale","validé","fr"
"ST3E004","3e","statistiques","interpretation","comparaison","QCM","3","60","Dans un contrôle la moyenne est 13 et la médiane 12. Que peut-on dire ?","Plus de mauvaises notes","Répartition symétrique|Plus de bonnes notes|Impossible à déterminer","","flash;statistiques;interpretation","validé","fr"
"ST3E005","3e","statistiques","mediane","calcul_pair","QCM","2","45","Quelle est la médiane de cette série de 20 valeurs ordonnées si la 10ème vaut 45 et la 11ème vaut 47 ?","46","45|47|45.5","","flash;statistiques;mediane_pair_complexe","validé","fr"
"ST3E006","3e","statistiques","moyenne","suppression","QCM","3","60","La moyenne de 8 valeurs est 15. Si on enlève une valeur égale à 23 quelle devient la nouvelle moyenne ?","13.7","14.1|14.3|13.1","","flash;statistiques;moyenne_suppression","validé","fr"
"ST3E007","3e","statistiques","etendue","temperatures","QCM","2","45","Une série de 9 températures a une étendue de 18°C. La température maximale est 31°C. Quelle est la minimale ?","13°C","12°C|14°C|15°C","","flash;statistiques;etendue_contexte","validé","fr"
"ST3E008","3e","statistiques","quartiles","ecart_interquartile","QCM","2","45","Les quartiles d'une série sont Q1=8 et Q3=16. Calculer l'écart interquartile","8","24|7|9","","flash;statistiques;ecart_interquartile","validé","fr"
"ST3E009","3e","statistiques","moyenne_ponderee","simple","QCM","2","45","Moyenne pondérée de 14 (coeff 4) et 10 (coeff 6) :","11.6","12|12.4|11.2","","flash;statistiques;moyenne_ponderee_simple","validé","fr"
"ST3E010","3e","statistiques","mediane","transformation","QCM","3","60","Une série a pour médiane 25. On multiplie chaque valeur par 3. La nouvelle médiane est :","75","25|8.33|Impossible à calculer","","flash;statistiques;mediane_transformation","validé","fr"
"ST3E011","3e","statistiques","etendue","salaires","QCM","2","45","L'étendue d'une série de salaires est 2400€. Le salaire max est 3500€. Quel est le salaire min ?","1100€","1200€|1000€|1300€","","flash;statistiques;etendue_contexte","validé","fr"
"ST3E012","3e","statistiques","moyenne","ecart_type","QCM","2","30","Dans une classe la moyenne en maths est 12.5 avec un écart-type de 3.2. Un élève a 16. Sa note est-elle :","Au-dessus de la moyenne","Dans la moyenne|En dessous de la moyenne|Exactement la moyenne","","flash;statistiques;interpretation_ecart","validé","fr"
"ST3E013","3e","statistiques","mediane","negatifs","QCM","2","45","Calculer la médiane de : -5 ; -2 ; 0 ; 3 ; 7 ; 11 ; 15","3","0|5|7","","flash;statistiques;mediane_negatifs","validé","fr"
"ST3E014","3e","statistiques","moyenne","fusion","QCM","3","60","Une série de 12 valeurs a une moyenne de 18. Si on ajoute 4 valeurs de moyenne 22 quelle est la nouvelle moyenne ?","19","18.5|20|19.5","","flash;statistiques;moyenne_fusion","validé","fr"
"ST3E015","3e","statistiques","etendue","transformation","QCM","3","60","L'étendue d'une série est divisée par 2 si on :","Divise chaque valeur par 2","Soustrait 2 à chaque valeur|Ajoute la même constante|Enlève les valeurs extrêmes","","flash;statistiques;transformation_etendue","validé","fr"
"ST3E016","3e","statistiques","mediane","propriete","QCM","2","30","Une médiane sépare une série en deux groupes de :","Même effectif","Même moyenne|Même étendue|Même variance","","flash;statistiques;propriete_mediane","validé","fr"
"ST3E017","3e","statistiques","moyenne","negatifs","QCM","2","45","Calculer la moyenne de -8 ; -3 ; 2 ; 5 ; 12 ; -1 ; 7","2","1.4|3|0","","flash;statistiques;moyenne_negatifs","validé","fr"
"ST3E018","3e","statistiques","quartiles","ecart","QCM","2","30","Si Q1=12 et médiane=18 et Q3=24 l'écart interquartile vaut :","12","6|36|18","","flash;statistiques;ecart_interquartile","validé","fr"
"ST3E019","3e","statistiques","mediane","incomplete","QCM","3","60","Une série de prix a une médiane de 85€ et une étendue de 60€. Le prix minimum possible est :","Dépend du maximum","25€|145€|Cannot be determined","","flash;statistiques;donnees_incompletes","validé","fr"
"ST3E020","3e","statistiques","moyenne","ajout_cible","QCM","3","60","La moyenne de 5;7;9;11;13 est 9. Si on ajoute une 6ème valeur pour que la nouvelle moyenne soit 10 cette valeur est :","15","12|10|18","","flash;statistiques;moyenne_ajout_cible","validé","fr"
