uid,level,topic,subtopic,skill,format,difficulty,time_s,stem_tex,answer_tex,distractors_tex,figure_url,tags,status,language,source_file
CL3E001,3e,calcul_litteral,addition,calcul,QCM,1,30,Simplifier : $2x + 3x$,$5x$,$6x$|$x$|$2x^2$,,flash;calcul_litteral;addition,à valider,fr,calcul_litteral.csv
CL3E002,3e,calcul_litteral,soustraction,calcul,QCM,1,30,Simplifier : $4a - 2a + a$,$3a$,$2a$|$a$|$7a$,,flash;calcul_litteral;soustraction,à valider,fr,calcul_litteral.csv
CL3E003,3e,calcul_litteral,developpement,calcul,QCM,2,35,Développer : $3(x + 2)$,$3x + 6$,$3x + 2$|$x + 6$|$6x + 3$,,flash;calcul_litteral;developpement,à valider,fr,calcul_litteral.csv
CL3E004,3e,calcul_litteral,factorisation,calcul,QCM,2,35,Factoriser : $6y + 9$,$3(2y + 3)$,$2(3y + 4.5)$|$6(y + 1.5)$|$3y + 9$,,flash;calcul_litteral;factorisation,à valider,fr,calcul_litteral.csv
CL3E005,3e,calcul_litteral,parentheses,calcul,QCM,2,35,Simplifier : $5b - (2b + 3)$,$3b - 3$,$7b + 3$|$3b + 3$|$-3b + 3$,,flash;calcul_litteral;parentheses,à valider,fr,calcul_litteral.csv
CL3E006,3e,calcul_litteral,developpement,calcul,QCM,1,30,Développer : $2(a - 4)$,$2a - 8$,$2a + 8$|$a - 8$|$2a - 4$,,flash;calcul_litteral;developpement,à valider,fr,calcul_litteral.csv
CL3E007,3e,calcul_litteral,factorisation,calcul,QCM,2,35,Factoriser : $8x - 12$,$4(2x - 3)$,$2(4x - 6)$|$8(x - 1.5)$|$4x - 12$,,flash;calcul_litteral;factorisation,à valider,fr,calcul_litteral.csv
CL3E008,3e,calcul_litteral,addition,calcul,QCM,1,30,Simplifier : $7m + 2m - 5m$,$4m$,$9m$|$2m$|$-4m$,,flash;calcul_litteral;addition,à valider,fr,calcul_litteral.csv
CL3E009,3e,calcul_litteral,developpement,calcul,QCM,2,35,Développer : $x(x + 5)$,$x^2 + 5x$,$x^2 + x + 5$|$x^2 + 10x$|$x + 5x$,,flash;calcul_litteral;developpement,à valider,fr,calcul_litteral.csv
CL3E010,3e,calcul_litteral,factorisation,calcul,QCM,2,35,Factoriser : $10z + 15$,$5(2z + 3)$,$2(5z + 7.5)$|$10(z + 1.5)$|$5z + 15$,,flash;calcul_litteral;factorisation,à valider,fr,calcul_litteral.csv
CL3E011,3e,calcul_litteral,parentheses,calcul,QCM,2,35,Simplifier : $3p - 2(p + 4)$,$p - 8$,$p + 8$|$5p - 8$|$p + 4$,,flash;calcul_litteral;parentheses,à valider,fr,calcul_litteral.csv
CL3E012,3e,calcul_litteral,developpement,calcul,QCM,1,30,Développer : $4(y - 3)$,$4y - 12$,$4y + 12$|$y - 12$|$4y - 3$,,flash;calcul_litteral;developpement,à valider,fr,calcul_litteral.csv
CL3E013,3e,calcul_litteral,factorisation,calcul,QCM,2,35,Factoriser : $9x - 6$,$3(3x - 2)$,$9(x - 0.66)$|$6(1.5x - 1)$|$3x - 6$,,flash;calcul_litteral;factorisation,à valider,fr,calcul_litteral.csv
CL3E014,3e,calcul_litteral,addition,calcul,QCM,1,30,Simplifier : $8a + 2a - 5a$,$5a$,$10a$|$3a$|$-5a$,,flash;calcul_litteral;addition,à valider,fr,calcul_litteral.csv
CL3E015,3e,calcul_litteral,developpement,calcul,QCM,2,35,Développer : $2(x + 7)$,$2x + 14$,$2x + 7$|$x + 14$|$14x + 2$,,flash;calcul_litteral;developpement,à valider,fr,calcul_litteral.csv
CL3E016,3e,calcul_litteral,factorisation,calcul,QCM,2,35,Factoriser : $12y + 18$,$6(2y + 3)$,$3(4y + 6)$|$12(y + 1.5)$|$6y + 18$,,flash;calcul_litteral;factorisation,à valider,fr,calcul_litteral.csv
