"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"FON3E001","3e","fonctions","lecture_graphique","lecture","QCM","1","30","D'après le graphique, l'image de 2 par la fonction f est :","5","3|7|2","","flash;fonctions;lecture_image","validé","fr"
"FON3E002","3e","fonctions","lecture_graphique","lecture","QCM","2","45","D'après le graphique, un antécédent de 6 par la fonction f est :","3","2|4|6","","flash;fonctions;lecture_antecedent","validé","fr"
"FON3E003","3e","fonctions","lecture_graphique","lecture","QCM","1","35","Le point A(4, 7) appartient à la courbe de f. Alors f(4) = ?","7","4|11|28","","flash;fonctions;coordonnees_point","validé","fr"
"FON3E004","3e","fonctions","lecture_graphique","lecture","QCM","2","50","D'après le tableau : x → 0, 1, 2, 3 et f(x) → 0, 3, 6, 9. Calculer f(2).","6","3|9|2","","flash;fonctions;tableau_valeurs","validé","fr"
"FON3E005","3e","fonctions","lecture_graphique","lecture","QCM","2","40","La courbe passe par (0, 2) et (3, 8). Quelle est f(0) ?","2","3|8|0","","flash;fonctions;lecture_ordonnee_origine","validé","fr"
"FON3E006","3e","fonctions","lecture_graphique","lecture","QCM","3","60","D'après le graphique, combien y a-t-il d'antécédents de 4 ?","2","1|3|0","","flash;fonctions;nombre_antecedents","validé","fr"
"FON3E007","3e","fonctions","lecture_graphique","lecture","QCM","2","45","Le point (5, -1) est sur la courbe. Alors f(5) = ?","-1","5|4|-5","","flash;fonctions;coordonnees_negatives","validé","fr"
"FON3E008","3e","fonctions","lecture_graphique","lecture","QCM","3","50","Si f(-2) = 3 et f(1) = 6, que vaut f(1) - f(-2) ?","3","9|-3|4","","flash;fonctions;difference_images","validé","fr"
"FON3E009","3e","fonctions","fonctions_lineaires","calcul","QCM","1","30","Si f(x) = 4x, calculer f(3).","12","7|16|34","","flash;fonctions;lineaire_calcul","validé","fr"
"FON3E010","3e","fonctions","fonctions_lineaires","calcul","QCM","1","30","Si g(x) = -2x, calculer g(-5).","10","2|-10|-2","","flash;fonctions;lineaire_negatif","validé","fr"
"FON3E011","3e","fonctions","fonctions_lineaires","calcul","QCM","2","45","Une fonction linéaire vérifie f(2) = 8. Quelle est son expression ?","f(x) = 4x","f(x) = 2x + 4|f(x) = 6x|f(x) = x + 6","","flash;fonctions;determiner_lineaire","validé","fr"
"FON3E012","3e","fonctions","fonctions_lineaires","propriete","QCM","2","40","Si f(x) = 3x, alors f(2 × 5) = ?","30","15|6|10","","flash;fonctions;propriete_lineaire","validé","fr"
"FON3E013","3e","fonctions","fonctions_lineaires","reconnaissance","QCM","2","35","Laquelle est une fonction linéaire ?","f(x) = 5x","f(x) = x + 2|f(x) = x²|f(x) = 3x - 1","","flash;fonctions;reconnaissance_lineaire","validé","fr"
"FON3E014","3e","fonctions","fonctions_affines","calcul","QCM","2","40","Si h(x) = 2x + 3, calculer h(4).","11","5|8|23","","flash;fonctions;affine_calcul","validé","fr"
"FON3E015","3e","fonctions","fonctions_affines","calcul","QCM","2","40","Si k(x) = -x + 5, calculer k(2).","3","7|-3|2","","flash;fonctions;affine_coefficient_negatif","validé","fr"
"FON3E016","3e","fonctions","fonctions_affines","calcul","QCM","3","60","Si f(x) = 3x - 1, calculer f(-2).","7","-7|5|-5","","flash;fonctions;affine_valeur_negative","validé","fr"
"FON3E017","3e","fonctions","fonctions_affines","determination","QCM","3","75","Une fonction affine vérifie f(0) = 2 et f(1) = 5. Son expression est :","f(x) = 3x + 2","f(x) = 2x + 3|f(x) = x + 4|f(x) = 5x + 2","","flash;fonctions;determiner_affine","validé","fr"
"FON3E018","3e","fonctions","fonctions_affines","lecture","QCM","2","45","Dans f(x) = -2x + 4, le coefficient directeur est :","2","-2|4|-4","","flash;fonctions;coefficient_directeur","validé","fr"
"FON3E019","3e","fonctions","notation","vocabulaire","QCM","1","25","La notation f : x → 2x + 1 signifie :","f(x) = 2x + 1","x = 2f + 1|f = 2x + 1|2x = f + 1","","flash;fonctions;notation_fleche","validé","fr"
"FON3E020","3e","fonctions","vocabulaire","definition","QCM","1","30","Si f(3) = 7, alors 3 est :","un antécédent de 7","l'image de 7|la fonction|le coefficient","","flash;fonctions;vocabulaire_antecedent","validé","fr"
