"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"TRI3E001","3e","trigonometrie","cosinus","calcul","QCM","2","45","Dans un triangle rectangle, si l'angle aigu mesure 60° et l'hypoténuse 8 cm, le côté adjacent mesure :","4 cm","6,9 cm|8 cm|4,6 cm","","flash;trigo;cosinus","validé","fr"
"TRI3E002","3e","trigonometrie","sinus","calcul","QCM","2","45","Dans un triangle rectangle, si l'angle aigu mesure 30° et l'hypoténuse 10 cm, le côté opposé mesure :","5 cm","8,7 cm|10 cm|5,8 cm","","flash;trigo;sinus","validé","fr"
"TRI3E003","3e","trigonometrie","tangente","calcul","QCM","2","50","Dans un triangle rectangle, côté opposé = 6 cm, côté adjacent = 8 cm. La tangente de l'angle est :","0,75","1,33|0,6|1,25","","flash;trigo;tangente","validé","fr"
"TRI3E004","3e","trigonometrie","cosinus","calcul","QCM","2","60","Triangle rectangle : hypoténuse = 12 cm, côté adjacent = 9 cm. $\cos(\alpha) = ?$","0,75","0,6|1,33|0,8","","flash;trigo;rapport_cosinus","validé","fr"
"TRI3E005","3e","trigonometrie","sinus","calcul","QCM","2","60","Triangle rectangle : hypoténuse = 15 cm, côté opposé = 12 cm. $\sin(\alpha) = ?$","0,8","0,6|1,25|0,75","","flash;trigo;rapport_sinus","validé","fr"
"TRI3E006","3e","trigonometrie","angle","calcul","QCM","3","75","Si $\cos(\alpha) = 0,6$, alors l'angle $\alpha$ mesure environ :","53°","37°|30°|60°","","flash;trigo;angle_par_cosinus","validé","fr"
"TRI3E007","3e","trigonometrie","angle","calcul","QCM","3","75","Si $\sin(\beta) = 0,5$, alors l'angle $\beta$ mesure :","30°","60°|45°|37°","","flash;trigo;angle_par_sinus","validé","fr"
"TRI3E008","3e","trigonometrie","tangente","calcul","QCM","3","80","Si $\tan(\gamma) = 1$, alors l'angle $\gamma$ mesure :","45°","30°|60°|37°","","flash;trigo;angle_par_tangente","validé","fr"
"TRI3E009","3e","trigonometrie","longueur","calcul","QCM","3","90","Triangle rectangle, angle de 37°, côté adjacent = 8 cm. Le côté opposé mesure environ :","6 cm","9,6 cm|10,7 cm|4,8 cm","","flash;trigo;calcul_oppose","validé","fr"
"TRI3E010","3e","trigonometrie","longueur","calcul","QCM","3","90","Triangle rectangle, angle de 53°, côté opposé = 12 cm. L'hypoténuse mesure environ :","15 cm","9,6 cm|20 cm|10 cm","","flash;trigo;calcul_hypotenuse","validé","fr"
"TRI3E011","3e","trigonometrie","definition","connaissance","QCM","1","30","Dans un triangle rectangle, $\cos(\alpha) = \frac{?}{hypoténuse}$","côté adjacent","côté opposé|tangente|sinus","","flash;trigo;definition_cosinus","validé","fr"
"TRI3E012","3e","trigonometrie","definition","connaissance","QCM","1","30","Dans un triangle rectangle, $\sin(\alpha) = \frac{?}{hypoténuse}$","côté opposé","côté adjacent|cosinus|tangente","","flash;trigo;definition_sinus","validé","fr"
"TRI3E013","3e","trigonometrie","definition","connaissance","QCM","1","35","Dans un triangle rectangle, $\tan(\alpha) = \frac{côté opposé}{?}$","côté adjacent","hypoténuse|côté opposé|sinus","","flash;trigo;definition_tangente","validé","fr"
"TRI3E014","3e","trigonometrie","valeurs_remarquables","connaissance","QCM","2","40","$\cos(60°) = ?$","0,5","0,87|0,71|1","","flash;trigo;valeur_remarquable","validé","fr"
"TRI3E015","3e","trigonometrie","valeurs_remarquables","connaissance","QCM","2","40","$\sin(45°) = ?$","$\frac{\sqrt{2}}{2}$","0,5|$\frac{\sqrt{3}}{2}$|1","","flash;trigo;valeur_remarquable","validé","fr"
"TRI3E016","3e","trigonometrie","longueur","calcul","QCM","3","85","Angle de 60°, hypoténuse = 14 cm. Le côté adjacent mesure :","7 cm","12,1 cm|14 cm|8,1 cm","","flash;trigo;calcul_adjacent","validé","fr"
"TRI3E017","3e","trigonometrie","angle","calcul","QCM","3","80","Côté opposé = 5 cm, côté adjacent = 12 cm. L'angle mesure environ :","23°","67°|45°|30°","","flash;trigo;angle_par_tangente_calcul","validé","fr"
"TRI3E018","3e","trigonometrie","longueur","calcul","QCM","3","90","Angle de 45°, côté adjacent = 10 cm. Le côté opposé mesure :","10 cm","14,1 cm|7,1 cm|5 cm","","flash;trigo;egalite_45_degres","validé","fr"
"TRI3E019","3e","trigonometrie","rapport","calcul","QCM","2","50","Triangle rectangle : côté opposé = 7 cm, hypoténuse = 25 cm. $\sin(\alpha) = ?$","0,28","0,35|0,96|3,57","","flash;trigo;calcul_sinus","validé","fr"
"TRI3E020","3e","trigonometrie","rapport","calcul","QCM","2","55","Triangle rectangle : côté adjacent = 15 cm, côté opposé = 20 cm. $\tan(\alpha) = ?$","1,33","0,75|0,6|1,67","","flash;trigo;calcul_tangente","validé","fr"
