"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"LIT5E001","5e","calcul_litteral","substitution","calcul","QCM","1","30","Si $x = 3$, calculer $x + 5$","$8$","$15$|$2$|$35$","","flash;litteral;substitution","validé","fr"
"LIT5E002","5e","calcul_litteral","substitution","calcul","QCM","1","30","Si $a = 7$, calculer $2a$","$14$","$9$|$27$|$72$","","flash;litteral;substitution","validé","fr"
"LIT5E003","5e","calcul_litteral","substitution","calcul","QCM","2","45","Si $x = 4$, calculer $3x - 1$","$11$","$7$|$34$|$12$","","flash;litteral;substitution","validé","fr"
"LIT5E004","5e","calcul_litteral","substitution","calcul","QCM","2","45","Si $n = 5$, calculer $2n + 3$","$13$","$10$|$25$|$53$","","flash;litteral;substitution","validé","fr"
"LIT5E005","5e","calcul_litteral","expression","ecriture","QCM","1","25","Le double de $x$ s'écrit :","$2x$","$x + 2$|$x^2$|$2 + x$","","flash;litteral;langage","validé","fr"
"LIT5E006","5e","calcul_litteral","expression","ecriture","QCM","1","25","$x$ augmenté de 4 s'écrit :","$x + 4$","$4x$|$x - 4$|$4 - x$","","flash;litteral;langage","validé","fr"
"LIT5E007","5e","calcul_litteral","expression","ecriture","QCM","2","30","Le triple de $a$ diminué de 2 s'écrit :","$3a - 2$","$3a + 2$|$a - 2$|$3(a - 2)$","","flash;litteral;langage","validé","fr"
"LIT5E008","5e","calcul_litteral","substitution","calcul","QCM","2","40","Si $x = 6$, calculer $x^2$","$36$","$12$|$66$|$6$","","flash;litteral;carre","validé","fr"
"LIT5E009","5e","calcul_litteral","substitution","calcul","QCM","3","50","Si $a = 3$, calculer $a^2 + 2a$","$15$","$9$|$6$|$32$","","flash;litteral;substitution","validé","fr"
"LIT5E010","5e","calcul_litteral","developpement","calcul","QCM","2","35","Développer : $3(x + 2)$","$3x + 6$","$3x + 2$|$x + 6$|$3x + 32$","","flash;litteral;developpement","validé","fr"
"LIT5E011","5e","calcul_litteral","developpement","calcul","QCM","2","35","Développer : $5(a - 1)$","$5a - 5$","$5a - 1$|$a - 5$|$5a + 5$","","flash;litteral;developpement","validé","fr"
"LIT5E012","5e","calcul_litteral","developpement","calcul","QCM","2","40","Développer : $2(3x + 4)$","$6x + 8$","$6x + 4$|$3x + 8$|$5x + 6$","","flash;litteral;developpement","validé","fr"
"LIT5E013","5e","calcul_litteral","simplification","ecriture","QCM","1","20","Simplifier : $x \times x$","$x^2$","$2x$|$x + x$|$x$","","flash;litteral;produit","validé","fr"
"LIT5E014","5e","calcul_litteral","simplification","ecriture","QCM","1","25","Simplifier : $3 \times a \times 2$","$6a$","$3a2$|$5a$|$32a$","","flash;litteral;produit","validé","fr"
"LIT5E015","5e","calcul_litteral","substitution","calcul","QCM","2","40","Si $x = 2$, calculer $5x - 3$","$7$","$13$|$2$|$52$","","flash;litteral;substitution","validé","fr"
"LIT5E016","5e","calcul_litteral","expression","ecriture","QCM","2","30","La somme du carré de $x$ et de 5 s'écrit :","$x^2 + 5$","$(x + 5)^2$|$x^2 \times 5$|$2x + 5$","","flash;litteral;langage","validé","fr"
"LIT5E017","5e","calcul_litteral","developpement","calcul","QCM","3","45","Développer : $x(x + 3)$","$x^2 + 3x$","$x^2 + 3$|$2x + 3$|$x + 3x$","","flash;litteral;developpement","validé","fr"
"LIT5E018","5e","calcul_litteral","substitution","calcul","QCM","3","60","Si $a = 4$ et $b = 1$, calculer $2a + 3b$","$11$","$7$|$24$|$241$","","flash;litteral;deux_variables","validé","fr"
"LIT5E019","5e","calcul_litteral","reduction","ecriture","QCM","2","30","Réduire : $2x + 5x$","$7x$","$10x$|$7x^2$|$2x^5$","","flash;litteral;reduction","validé","fr"
"LIT5E020","5e","calcul_litteral","reduction","ecriture","QCM","2","35","Réduire : $3a + 2 + 4a$","$7a + 2$","$9a$|$3a + 6$|$7a^2 + 2$","","flash;litteral;reduction","validé","fr"
